Event	ID	Name			Wwise Object Path	Notes
	452547817	Stop_All			\Default Work Unit\Stop_All	
	3679762312	Resume_All			\Default Work Unit\Resume_All	
	3864097025	Pause_All			\Default Work Unit\Pause_All	

Dialogue Event	ID	Name			Wwise Object Path	Notes
	3585983975	Unit_Under_Attack			\Dialogue\Unit_Under_Attack	
	3970659059	Objective_Status			\Dialogue\Objective_Status	
	4110439188	WalkieTalkie			\Dialogue\WalkieTalkie	

State Group	ID	Name			Wwise Object Path	Notes
	6899006	Objective			\Dialogue\Objective	
	1176052424	Location			\Dialogue\Location	
	1304109583	Unit			\Dialogue\Unit	
	3299963692	ObjectiveStatus			\Dialogue\ObjectiveStatus	
	3712907969	Hostile			\Dialogue\Hostile	
	4110439188	WalkieTalkie			\Dialogue\WalkieTalkie	

State	ID	Name	State Group			Notes
	141419130	NeutralizeHostile	Objective			
	748895195	None	Objective			
	3261872615	DefuseBomb	Objective			
	3841112373	RescueHostage	Objective			
	672587556	Alley	Location			
	748895195	None	Location			
	2192450996	Hangar	Location			
	4142189312	Street	Location			
	748895195	None	Unit			
	3004848132	Unit_B	Unit			
	3004848135	Unit_A	Unit			
	94054856	Completed	ObjectiveStatus			
	748895195	None	ObjectiveStatus			
	1655200910	Failed	ObjectiveStatus			
	685704824	Gang	Hostile			
	714721627	Bum	Hostile			
	748895195	None	Hostile			
	748895195	None	WalkieTalkie			
	1553720736	Comm_Out	WalkieTalkie			
	1856010785	Comm_In	WalkieTalkie			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	122150048	UNA-HS-ST_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-HS-ST_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14126
	130972370	WalkieTalkie_OUT_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_OUT_01_E0C4BE95.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1000
	143955854	UNB-DB-CP_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-DB-CP_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11414
	152207618	WalkieTalkie_OUT_03	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_OUT_03_E0C4BE95.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2656
	154332458	WalkieTalkie_IN_05	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_IN_05_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_05	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2157
	160029535	UNB-BM-HG_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-BM-HG_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	17061
	171852403	UNB-NH-OS_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-NH-OS_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11218
	222251975	UNB-RH-FL_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-RH-FL_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	13295
	241281798	UNA-GG-HG_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-GG-HG_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14589
	260542699	WalkieTalkie_OUT_05	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_OUT_05_E0C4BE95.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_05	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2728
	296510554	UNA-NH-CP_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-NH-CP_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-NH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	19750
	302248483	UNB-OB-CP_02	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-OB-CP_02_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-CP\UNB-OB-CP_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	8501
	302361834	UNA-BM-LO_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-BM-LO_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18683
	323616383	UNA-BM-AL_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-BM-AL_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20008
	324373550	UNB-NH-FL_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-NH-FL_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12429
	334920825	UNA-HS-AL_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-HS-AL_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20360
	335324092	UNB-BM-AL_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-BM-AL_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18547
	346143568	UNA-OB-FL_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-OB-FL_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11777
	352019296	WalkieTalkie_IN_02	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_IN_02_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2706
	385859352	UNA-DB-FL_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-DB-FL_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-DB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18501
	407699839	UNA-BM-HG_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-BM-HG_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	31168
	431999696	WalkieTalkie_OUT_02	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_OUT_02_E0C4BE95.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1792
	440704108	UNB-OB-CP_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-OB-CP_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-CP\UNB-OB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	17438
	465726618	UNB-GG-AL_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-GG-AL_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	17141
	473745409	UNB-HS-AL_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-HS-AL_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	10940
	528410234	UNB-OB-OS_02	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-OB-OS_02_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-OS\UNB-OB-OS_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11774
	533589659	UNB-HS-ST_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-HS-ST_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	24667
	566477244	UNA-RH-CP_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-RH-CP_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-RH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	9967
	605195977	UNA-NH-OS_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-NH-OS_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-NH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	15198
	615211791	UNB-RH-CP_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-RH-CP_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	8450
	623421104	WalkieTalkie_IN_03	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_IN_03_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	3354
	625976811	UNA-OB-OS_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-OB-OS_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-OS\UNA-OB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12761
	630542219	UNB-BM-ST_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-BM-ST_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14720
	647502295	UNA-DB-CP_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-DB-CP_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-DB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	10732
	680889701	WalkieTalkie_OUT_07	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_OUT_07_E0C4BE95.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_07	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1936
	689721741	UNB-OB-OS_03	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-OB-OS_03_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-OS\UNB-OB-OS_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	13149
	728268619	UNB-GG-HG_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-GG-HG_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14289
	729243488	UNA-BM-ST_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-BM-ST_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-BM-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18661
	740266105	UNA-HS-HG_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-HS-HG_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14973
	744200626	UNA-OB-OS_02	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-OB-OS_02_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-OS\UNA-OB-OS_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	10669
	755600443	UNB-NH-CP_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-NH-CP_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-NH-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	21632
	787555637	UNA-OB-OS_03	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-OB-OS_03_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-OS\UNA-OB-OS_03	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14510
	854311290	UNA-DB-OS_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-DB-OS_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-DB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	15534
	856886473	UNA-HS-LO_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-HS-LO_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-HS-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	10651
	898084552	UNA-OB-CP_02	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-OB-CP_02_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-CP\UNA-OB-CP_02	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11066
	904429250	UNA-OB-CP_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNA-OB-CP_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-OB-CP\UNA-OB-CP_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	18811
	920042801	UNB-OB-OS_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\Voices\English(US)\UNB-OB-OS_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-OB-OS\UNB-OB-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14278
	921528663	WalkieTalkie_IN_04	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_IN_04_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_04	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2315
	924301855	WalkieTalkie_IN_01	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_IN_01_D2174E6F.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_IN\WalkieTalkie_IN_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2386
	927632933	WalkieTalkie_OUT_04	D:\Jenkins\ws\wwise_v2021.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\SFX\WalkieTalkie_OUT_04_E0C4BE95.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_04	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	3484
